Index,Name,Full_Name,Intensity,Space,Hemi
1,LH_Vis_1,LH_Vis_1,1,MNI,L
2,LH_Vis_2,LH_Vis_2,2,MNI,L
3,LH_Vis_3,LH_Vis_3,3,MNI,L
4,LH_Vis_4,LH_Vis_4,4,MNI,L
5,LH_Vis_5,LH_Vis_5,5,MNI,L
6,LH_Vis_6,LH_Vis_6,6,MNI,L
7,LH_Vis_7,LH_Vis_7,7,MNI,L
8,LH_Vis_8,LH_Vis_8,8,MNI,L
9,LH_Vis_9,LH_Vis_9,9,MNI,L
10,LH_Vis_10,LH_Vis_10,10,MNI,L
11,LH_Vis_11,LH_Vis_11,11,MNI,L
12,LH_Vis_12,LH_Vis_12,12,MNI,L
13,LH_Vis_13,LH_Vis_13,13,MNI,L
14,LH_Vis_14,LH_Vis_14,14,MNI,L
15,LH_Vis_15,LH_Vis_15,15,MNI,L
16,LH_Vis_16,LH_Vis_16,16,MNI,L
17,LH_Vis_17,LH_Vis_17,17,MNI,L
18,LH_Vis_18,LH_Vis_18,18,MNI,L
19,LH_Vis_19,LH_Vis_19,19,MNI,L
20,LH_Vis_20,LH_Vis_20,20,MNI,L
21,LH_Vis_21,LH_Vis_21,21,MNI,L
22,LH_Vis_22,LH_Vis_22,22,MNI,L
23,LH_Vis_23,LH_Vis_23,23,MNI,L
24,LH_Vis_24,LH_Vis_24,24,MNI,L
25,LH_Vis_25,LH_Vis_25,25,MNI,L
26,LH_Vis_26,LH_Vis_26,26,MNI,L
27,LH_Vis_27,LH_Vis_27,27,MNI,L
28,LH_Vis_28,LH_Vis_28,28,MNI,L
29,LH_Vis_29,LH_Vis_29,29,MNI,L
30,LH_Vis_30,LH_Vis_30,30,MNI,L
31,LH_Vis_31,LH_Vis_31,31,MNI,L
32,LH_SomMot_1,LH_SomMot_1,32,MNI,L
33,LH_SomMot_2,LH_SomMot_2,33,MNI,L
34,LH_SomMot_3,LH_SomMot_3,34,MNI,L
35,LH_SomMot_4,LH_SomMot_4,35,MNI,L
36,LH_SomMot_5,LH_SomMot_5,36,MNI,L
37,LH_SomMot_6,LH_SomMot_6,37,MNI,L
38,LH_SomMot_7,LH_SomMot_7,38,MNI,L
39,LH_SomMot_8,LH_SomMot_8,39,MNI,L
40,LH_SomMot_9,LH_SomMot_9,40,MNI,L
41,LH_SomMot_10,LH_SomMot_10,41,MNI,L
42,LH_SomMot_11,LH_SomMot_11,42,MNI,L
43,LH_SomMot_12,LH_SomMot_12,43,MNI,L
44,LH_SomMot_13,LH_SomMot_13,44,MNI,L
45,LH_SomMot_14,LH_SomMot_14,45,MNI,L
46,LH_SomMot_15,LH_SomMot_15,46,MNI,L
47,LH_SomMot_16,LH_SomMot_16,47,MNI,L
48,LH_SomMot_17,LH_SomMot_17,48,MNI,L
49,LH_SomMot_18,LH_SomMot_18,49,MNI,L
50,LH_SomMot_19,LH_SomMot_19,50,MNI,L
51,LH_SomMot_20,LH_SomMot_20,51,MNI,L
52,LH_SomMot_21,LH_SomMot_21,52,MNI,L
53,LH_SomMot_22,LH_SomMot_22,53,MNI,L
54,LH_SomMot_23,LH_SomMot_23,54,MNI,L
55,LH_SomMot_24,LH_SomMot_24,55,MNI,L
56,LH_SomMot_25,LH_SomMot_25,56,MNI,L
57,LH_SomMot_26,LH_SomMot_26,57,MNI,L
58,LH_SomMot_27,LH_SomMot_27,58,MNI,L
59,LH_SomMot_28,LH_SomMot_28,59,MNI,L
60,LH_SomMot_29,LH_SomMot_29,60,MNI,L
61,LH_SomMot_30,LH_SomMot_30,61,MNI,L
62,LH_SomMot_31,LH_SomMot_31,62,MNI,L
63,LH_SomMot_32,LH_SomMot_32,63,MNI,L
64,LH_SomMot_33,LH_SomMot_33,64,MNI,L
65,LH_SomMot_34,LH_SomMot_34,65,MNI,L
66,LH_SomMot_35,LH_SomMot_35,66,MNI,L
67,LH_SomMot_36,LH_SomMot_36,67,MNI,L
68,LH_SomMot_37,LH_SomMot_37,68,MNI,L
69,LH_DorsAttn_Post_1,LH_DorsAttn_Post_1,69,MNI,L
70,LH_DorsAttn_Post_2,LH_DorsAttn_Post_2,70,MNI,L
71,LH_DorsAttn_Post_3,LH_DorsAttn_Post_3,71,MNI,L
72,LH_DorsAttn_Post_4,LH_DorsAttn_Post_4,72,MNI,L
73,LH_DorsAttn_Post_5,LH_DorsAttn_Post_5,73,MNI,L
74,LH_DorsAttn_Post_6,LH_DorsAttn_Post_6,74,MNI,L
75,LH_DorsAttn_Post_7,LH_DorsAttn_Post_7,75,MNI,L
76,LH_DorsAttn_Post_8,LH_DorsAttn_Post_8,76,MNI,L
77,LH_DorsAttn_Post_9,LH_DorsAttn_Post_9,77,MNI,L
78,LH_DorsAttn_Post_10,LH_DorsAttn_Post_10,78,MNI,L
79,LH_DorsAttn_Post_11,LH_DorsAttn_Post_11,79,MNI,L
80,LH_DorsAttn_Post_12,LH_DorsAttn_Post_12,80,MNI,L
81,LH_DorsAttn_Post_13,LH_DorsAttn_Post_13,81,MNI,L
82,LH_DorsAttn_Post_14,LH_DorsAttn_Post_14,82,MNI,L
83,LH_DorsAttn_Post_15,LH_DorsAttn_Post_15,83,MNI,L
84,LH_DorsAttn_Post_16,LH_DorsAttn_Post_16,84,MNI,L
85,LH_DorsAttn_Post_17,LH_DorsAttn_Post_17,85,MNI,L
86,LH_DorsAttn_FEF_1,LH_DorsAttn_FEF_1,86,MNI,L
87,LH_DorsAttn_FEF_2,LH_DorsAttn_FEF_2,87,MNI,L
88,LH_DorsAttn_FEF_3,LH_DorsAttn_FEF_3,88,MNI,L
89,LH_DorsAttn_FEF_4,LH_DorsAttn_FEF_4,89,MNI,L
90,LH_DorsAttn_PrCv_1,LH_DorsAttn_PrCv_1,90,MNI,L
91,LH_DorsAttn_PrCv_2,LH_DorsAttn_PrCv_2,91,MNI,L
92,LH_SalVentAttn_ParOper_1,LH_SalVentAttn_ParOper_1,92,MNI,L
93,LH_SalVentAttn_ParOper_2,LH_SalVentAttn_ParOper_2,93,MNI,L
94,LH_SalVentAttn_ParOper_3,LH_SalVentAttn_ParOper_3,94,MNI,L
95,LH_SalVentAttn_ParOper_4,LH_SalVentAttn_ParOper_4,95,MNI,L
96,LH_SalVentAttn_TempOcc_1,LH_SalVentAttn_TempOcc_1,96,MNI,L
97,LH_SalVentAttn_FrOper_1,LH_SalVentAttn_FrOper_1,97,MNI,L
98,LH_SalVentAttn_FrOper_2,LH_SalVentAttn_FrOper_2,98,MNI,L
