Index,Name,Full_Name,Intensity,Space,Hemi
1,7Networks_LH_Vis_1,7Networks_LH_Vis_1,1,MNI,L
2,7Networks_LH_Vis_2,7Networks_LH_Vis_2,2,MNI,L
3,7Networks_LH_Vis_3,7Networks_LH_Vis_3,3,MNI,L
4,7Networks_LH_Vis_4,7Networks_LH_Vis_4,4,MNI,L
5,7Networks_LH_Vis_5,7Networks_LH_Vis_5,5,MNI,L
6,7Networks_LH_Vis_6,7Networks_LH_Vis_6,6,MNI,L
7,7Networks_LH_Vis_7,7Networks_LH_Vis_7,7,MNI,L
8,7Networks_LH_Vis_8,7Networks_LH_Vis_8,8,MNI,L
9,7Networks_LH_Vis_9,7Networks_LH_Vis_9,9,MNI,L
10,7Networks_LH_Vis_10,7Networks_LH_Vis_10,10,MNI,L
11,7Networks_LH_Vis_11,7Networks_LH_Vis_11,11,MNI,L
12,7Networks_LH_Vis_12,7Networks_LH_Vis_12,12,MNI,L
13,7Networks_LH_Vis_13,7Networks_LH_Vis_13,13,MNI,L
14,7Networks_LH_Vis_14,7Networks_LH_Vis_14,14,MNI,L
15,7Networks_LH_Vis_15,7Networks_LH_Vis_15,15,MNI,L
16,7Networks_LH_Vis_16,7Networks_LH_Vis_16,16,MNI,L
17,7Networks_LH_Vis_17,7Networks_LH_Vis_17,17,MNI,L
18,7Networks_LH_Vis_18,7Networks_LH_Vis_18,18,MNI,L
19,7Networks_LH_Vis_19,7Networks_LH_Vis_19,19,MNI,L
20,7Networks_LH_Vis_20,7Networks_LH_Vis_20,20,MNI,L
21,7Networks_LH_Vis_21,7Networks_LH_Vis_21,21,MNI,L
22,7Networks_LH_Vis_22,7Networks_LH_Vis_22,22,MNI,L
23,7Networks_LH_Vis_23,7Networks_LH_Vis_23,23,MNI,L
24,7Networks_LH_Vis_24,7Networks_LH_Vis_24,24,MNI,L
25,7Networks_LH_Vis_25,7Networks_LH_Vis_25,25,MNI,L
26,7Networks_LH_Vis_26,7Networks_LH_Vis_26,26,MNI,L
27,7Networks_LH_Vis_27,7Networks_LH_Vis_27,27,MNI,L
28,7Networks_LH_Vis_28,7Networks_LH_Vis_28,28,MNI,L
29,7Networks_LH_Vis_29,7Networks_LH_Vis_29,29,MNI,L
30,7Networks_LH_Vis_30,7Networks_LH_Vis_30,30,MNI,L
31,7Networks_LH_Vis_31,7Networks_LH_Vis_31,31,MNI,L
32,7Networks_LH_Vis_32,7Networks_LH_Vis_32,32,MNI,L
33,7Networks_LH_Vis_33,7Networks_LH_Vis_33,33,MNI,L
34,7Networks_LH_Vis_34,7Networks_LH_Vis_34,34,MNI,L
35,7Networks_LH_Vis_35,7Networks_LH_Vis_35,35,MNI,L
36,7Networks_LH_Vis_36,7Networks_LH_Vis_36,36,MNI,L
37,7Networks_LH_Vis_37,7Networks_LH_Vis_37,37,MNI,L
38,7Networks_LH_Vis_38,7Networks_LH_Vis_38,38,MNI,L
39,7Networks_LH_Vis_39,7Networks_LH_Vis_39,39,MNI,L
40,7Networks_LH_Vis_40,7Networks_LH_Vis_40,40,MNI,L
