Index,Name,Full_Name,Intensity,Space,Hemi
1,LH_Vis_1,LH_Vis_1,1,MNI,L
2,LH_Vis_2,LH_Vis_2,2,MNI,L
3,LH_Vis_3,LH_Vis_3,3,MNI,L
4,LH_Vis_4,LH_Vis_4,4,MNI,L
5,LH_Vis_5,LH_Vis_5,5,MNI,L
6,LH_Vis_6,LH_Vis_6,6,MNI,L
7,LH_Vis_7,LH_Vis_7,7,MNI,L
8,LH_Vis_8,LH_Vis_8,8,MNI,L
9,LH_Vis_9,LH_Vis_9,9,MNI,L
10,LH_SomMot_1,LH_SomMot_1,10,MNI,L
11,LH_SomMot_2,LH_SomMot_2,11,MNI,L
12,LH_SomMot_3,LH_SomMot_3,12,MNI,L
13,LH_SomMot_4,LH_SomMot_4,13,MNI,L
14,LH_SomMot_5,LH_SomMot_5,14,MNI,L
15,LH_SomMot_6,LH_SomMot_6,15,MNI,L
16,LH_DorsAttn_Post_1,LH_DorsAttn_Post_1,16,MNI,L
17,LH_DorsAttn_Post_2,LH_DorsAttn_Post_2,17,MNI,L
18,LH_DorsAttn_Post_3,LH_DorsAttn_Post_3,18,MNI,L
19,LH_DorsAttn_Post_4,LH_DorsAttn_Post_4,19,MNI,L
20,LH_DorsAttn_Post_5,LH_DorsAttn_Post_5,20,MNI,L
21,LH_DorsAttn_Post_6,LH_DorsAttn_Post_6,21,MNI,L
22,LH_DorsAttn_PrCv_1,LH_DorsAttn_PrCv_1,22,MNI,L
23,LH_DorsAttn_FEF_1,LH_DorsAttn_FEF_1,23,MNI,L
24,LH_SalVentAttn_ParOper_1,LH_SalVentAttn_ParOper_1,24,MNI,L
25,LH_SalVentAttn_FrOperIns_1,LH_SalVentAttn_FrOperIns_1,25,MNI,L
26,LH_SalVentAttn_FrOperIns_2,LH_SalVentAttn_FrOperIns_2,26,MNI,L
27,LH_SalVentAttn_PFCl_1,LH_SalVentAttn_PFCl_1,27,MNI,L
28,LH_SalVentAttn_Med_1,LH_SalVentAttn_Med_1,28,MNI,L
29,LH_SalVentAttn_Med_2,LH_SalVentAttn_Med_2,29,MNI,L
30,LH_SalVentAttn_Med_3,LH_SalVentAttn_Med_3,30,MNI,L
31,LH_Limbic_OFC_1,LH_Limbic_OFC_1,31,MNI,L
32,LH_Limbic_TempPole_1,LH_Limbic_TempPole_1,32,MNI,L
33,LH_Limbic_TempPole_2,LH_Limbic_TempPole_2,33,MNI,L
34,LH_Cont_Par_1,LH_Cont_Par_1,34,MNI,L
35,LH_Cont_PFCl_1,LH_Cont_PFCl_1,35,MNI,L
36,LH_Cont_pCun_1,LH_Cont_pCun_1,36,MNI,L
37,LH_Cont_Cing_1,LH_Cont_Cing_1,37,MNI,L
38,LH_Default_Temp_1,LH_Default_Temp_1,38,MNI,L
39,LH_Default_Temp_2,LH_Default_Temp_2,39,MNI,L
40,LH_Default_Par_1,LH_Default_Par_1,40,MNI,L
41,LH_Default_Par_2,LH_Default_Par_2,41,MNI,L
42,LH_Default_PFC_1,LH_Default_PFC_1,42,MNI,L
43,LH_Default_PFC_2,LH_Default_PFC_2,43,MNI,L
44,LH_Default_PFC_3,LH_Default_PFC_3,44,MNI,L
45,LH_Default_PFC_4,LH_Default_PFC_4,45,MNI,L
46,LH_Default_PFC_5,LH_Default_PFC_5,46,MNI,L
47,LH_Default_PFC_6,LH_Default_PFC_6,47,MNI,L
48,LH_Default_PFC_7,LH_Default_PFC_7,48,MNI,L
49,LH_Default_pCunPCC_1,LH_Default_pCunPCC_1,49,MNI,L
50,LH_Default_pCunPCC_2,LH_Default_pCunPCC_2,50,MNI,L
51,RH_Vis_1,RH_Vis_1,51,MNI,R
52,RH_Vis_2,RH_Vis_2,52,MNI,R
53,RH_Vis_3,RH_Vis_3,53,MNI,R
54,RH_Vis_4,RH_Vis_4,54,MNI,R
55,RH_Vis_5,RH_Vis_5,55,MNI,R
56,RH_Vis_6,RH_Vis_6,56,MNI,R
57,RH_Vis_7,RH_Vis_7,57,MNI,R
58,RH_Vis_8,RH_Vis_8,58,MNI,R
59,RH_SomMot_1,RH_SomMot_1,59,MNI,R
60,RH_SomMot_2,RH_SomMot_2,60,MNI,R
61,RH_SomMot_3,RH_SomMot_3,61,MNI,R
62,RH_SomMot_4,RH_SomMot_4,62,MNI,R
63,RH_SomMot_5,RH_SomMot_5,63,MNI,R
64,RH_SomMot_6,RH_SomMot_6,64,MNI,R
65,RH_SomMot_7,RH_SomMot_7,65,MNI,R
66,RH_SomMot_8,RH_SomMot_8,66,MNI,R
67,RH_DorsAttn_Post_1,RH_DorsAttn_Post_1,67,MNI,R
68,RH_DorsAttn_Post_2,RH_DorsAttn_Post_2,68,MNI,R
69,RH_DorsAttn_Post_3,RH_DorsAttn_Post_3,69,MNI,R
70,RH_DorsAttn_Post_4,RH_DorsAttn_Post_4,70,MNI,R
71,RH_DorsAttn_Post_5,RH_DorsAttn_Post_5,71,MNI,R
72,RH_DorsAttn_PrCv_1,RH_DorsAttn_PrCv_1,72,MNI,R
73,RH_DorsAttn_FEF_1,RH_DorsAttn_FEF_1,73,MNI,R
74,RH_SalVentAttn_TempOccPar_1,RH_SalVentAttn_TempOccPar_1,74,MNI,R
75,RH_SalVentAttn_TempOccPar_2,RH_SalVentAttn_TempOccPar_2,75,MNI,R
76,RH_SalVentAttn_FrOperIns_1,RH_SalVentAttn_FrOperIns_1,76,MNI,R
77,RH_SalVentAttn_Med_1,RH_SalVentAttn_Med_1,77,MNI,R
78,RH_SalVentAttn_Med_2,RH_SalVentAttn_Med_2,78,MNI,R
79,RH_Limbic_OFC_1,RH_Limbic_OFC_1,79,MNI,R
80,RH_Limbic_TempPole_1,RH_Limbic_TempPole_1,80,MNI,R
81,RH_Cont_Par_1,RH_Cont_Par_1,81,MNI,R
82,RH_Cont_Par_2,RH_Cont_Par_2,82,MNI,R
83,RH_Cont_PFCl_1,RH_Cont_PFCl_1,83,MNI,R
84,RH_Cont_PFCl_2,RH_Cont_PFCl_2,84,MNI,R
85,RH_Cont_PFCl_3,RH_Cont_PFCl_3,85,MNI,R
86,RH_Cont_PFCl_4,RH_Cont_PFCl_4,86,MNI,R
87,RH_Cont_Cing_1,RH_Cont_Cing_1,87,MNI,R
88,RH_Cont_PFCmp_1,RH_Cont_PFCmp_1,88,MNI,R
89,RH_Cont_pCun_1,RH_Cont_pCun_1,89,MNI,R
90,RH_Default_Par_1,RH_Default_Par_1,90,MNI,R
91,RH_Default_Temp_1,RH_Default_Temp_1,91,MNI,R
