Index,Node,Source
1,L_p32pr,hcpmmp_T1w
2,L_a24,hcpmmp_T1w
3,L_d32,hcpmmp_T1w
4,L_8BM,hcpmmp_T1w
5,L_p32,hcpmmp_T1w
6,L_10r,hcpmmp_T1w
7,L_47m,hcpmmp_T1w
8,L_8Av,hcpmmp_T1w
9,L_8Ad,hcpmmp_T1w
10,Brain-Stem,hcpmmp_T1w
